0 98 222 35 12 128 276 177 211 141 86
1 75 81 231 313 370 86 101 117 151 48
2 364 370 57 89 312 243 208 215 288 2
3 178 286 77 275 323 78 271 182 399 124
4 75 70 358 98 35 81 312 316 141 13
5 177 69 8 187 31 16 61 55 73 5
6 382 73 130 36 15 300 237 88 177 269
7 325 347 100 18 125 277 260 288 90 215
8 315 41 82 128 12 231 66 230 78 16
9 45 125 282 98 246 300 323 16 328 25
10 399 150 128 129 130 131 132 133 134 135
11 70 313 343 86 316 172 100 56 48 25
12 325 298 152 150 214 202 258 283 48 153
13 130 123 231 74 100 61 50 155 69 25
14 173 315 66 82 20 343 222 260 230 378
15 180 82 21 189 239 177 31 328 30 61
16 66 189 31 324 237 75 50 86 101 58
17 189 237 370 86 48 152 268 2 215 208
18 260 152 269 354 25 313 370 202 48 101
19 82 45 125 282 382 98 347 48 307 272
20 235 44 189 154 231 155 309 10 64 113
21 315 235 41 324 168 187 127 191 305 337
22 239 83 2 175 109 90 250 71 8 42
23 260 130 327 66 239 173 272 177 211 230
24 173 323 154 75 27 86 250 30 174 211
25 9 35 299 322 272 141 328 250 173 64
26 315 88 277 150 73 69 208 215 93 127
27 323 35 370 268 316 27 333 273 312 313
28 81 75 150 43 215 208 276 258 2 62
29 75 347 323 268 143 86 243 175 44 210
30 382 282 364 370 101 268 272 313 143 25
31 82 38 148 8 80 66 111 64 30 242
32 173 130 36 177 211 150 196 208 215 170
33 358 98 237 88 276 231 25 93 8 60
34 298 41 125 282 231 25 272 168 141 243
35 237 202 272 312 270 243 175 313 289 210
36 324 98 35 237 3 122 322 270 243 230
37 173 358 83 88 269 2 81 276 230 100
38 23 36 9 231 327 141 328 289 250 30
39 235 41 82 358 100 237 322 277 50 286
40 235 298 322 272 268 143 316 312 141 11
41 9 73 250 260 273 211 200 378 283 61
42 298 41 73 324 83 276 307 168 272 230
43 41 42 8 96 312 230 46 14 135 136
44 9 73 196 100 273 173 20 235 61 155
45 152 18 370 313 41 150 42 208 215 211
46 45 358 150 319 215 208 273 151 238 334
47 315 364 370 272 312 319 208 215 31 13
48 130 123 141 328 289 210 327 258 15 363
49 282 324 258 44 79 10 325 268 340 64
50 82 235 282 222 98 173 239 48 272 307
51 70 289 2 239 81 202 93 230 99 131
52 9 152 150 25 354 16 299 307 272 230
53 289 88 48 277 173 93 127 285 85 77
54 370 268 313 316 312 10 97 24 197 283
55 70 78 83 196 235 258 30 250 276 170
56 9 73 269 202 41 299 211 258 16 89
57 173 235 289 237 231 143 150 2 268 168
58 75 260 323 25 382 307 16 11 141 324
59 130 36 239 272 312 316 23 286 197 238
60 235 15 81 168 99 131 62 294 309 50
61 98 75 88 231 272 316 312 243 175 43
62 82 347 282 45 98 73 307 272 10 300
63 75 20 152 364 370 89 57 277 175 258
64 382 150 152 323 35 16 307 258 175 109
65 20 214 36 130 97 313 60 333 283 1
66 235 258 10 168 14 252 276 100 96 368
67 9 347 130 282 325 239 18 324 250 30
68 323 35 189 12 27 1 86 328 93 78
69 41 231 202 300 307 211 177 316 312 100
70 313 300 189 150 237 88 50 75 272 86
71 25 324 214 73 98 322 211 177 277 270
72 298 154 305 337 294 11 285 77 85 98
73 235 298 323 358 231 331 168 276 15 238
74 323 269 239 173 370 175 243 71 246 210
75 23 282 125 73 15 313 250 210 211 9
76 20 23 25 358 271 282 322 4 61 35
77 202 10 93 131 99 62 260 363 283 333
78 173 189 2 231 3 27 150 322 175 243
79 315 82 347 41 323 173 239 75 231 4
80 312 331 150 316 174 30 250 313 2 258
81 45 125 277 74 258 175 109 44 79 238
82 75 69 20 382 313 100 187 197 31 211
83 315 41 231 322 319 288 93 78 286 83
84 75 173 235 289 2 128 12 154 81 231
85 41 289 98 75 237 286 307 35 128 258
86 125 282 98 237 3 272 307 45 258 182
87 180 82 324 41 382 214 354 189 128 12
