0 255 3 269 298 249 235
1 180 294 87 231 81 117
2 370 59 305 89 243 64
3 289 325 122 3 89 59
4 255 358 81 141 341 35
5 21 122 3 363 177 196
6 323 31 36 186 173 382
7 3 122 125 18 73 260
8 37 315 235 323 41 370
9 255 323 13 289 35 260
10 338 99 298 278 180 315
11 1 313 278 231 26 114
12 290 214 18 75 179 211
13 137 153 150 211 196 177
14 315 82 20 125 272 13
15 338 82 382 59 9 272
16 290 37 354 31 23 75
17 290 180 238 289 143 9
18 294 289 354 152 150 370
19 282 45 21 323 31 4
20 235 4 231 246 313 153
21 315 99 278 137 341 202
22 129 323 31 239 25 48
23 31 36 239 154 141 13
24 282 45 3 122 214 231
25 255 21 35 75 16 143
26 37 323 101 98 370 231
27 313 370 173 239 238 215
28 101 31 215 81 75 258
29 323 86 63 243 175 64
30 298 358 382 238 272 202
31 1 97 41 109 243 202
32 152 150 98 128 137 215
33 31 354 186 173 276 69
34 323 31 298 173 186 278
35 282 45 231 154 305 202
36 300 278 86 243 313 312
37 255 129 377 152 150 358
38 75 70 69 338 31 377
39 338 235 41 100 278 231
40 282 45 99 298 98 313
41 278 215 211 322 270 243
42 129 298 137 9 307 272
43 338 214 278 23 319 33
44 20 31 196 64 61 50
45 235 150 152 313 370 18
46 235 249 238 82 319 151
47 82 21 75 272 215 305
48 290 255 45 23 276 260
49 272 307 300 246 44 79
50 82 179 43 78 21 14
51 255 186 239 31 59 299
52 354 9 59 299 137 307
53 152 4 358 300 278 23
54 82 370 31 141 13 151
55 1 128 239 78 363 44
56 290 282 152 150 18 41
57 235 3 122 289 180 230
58 260 354 377 59 299 157
59 255 214 36 239 238 289
60 36 187 129 94 387 151
61 4 75 358 238 272 307
62 82 21 272 305 13 90
63 277 13 272 20 316 319
64 255 358 307 13 35 4
65 122 3 214 88 348 65
66 282 338 235 323 377 298
67 290 70 235 98 298 278
68 255 338 152 36 358 35
69 300 97 125 71 231 238
70 290 238 215 180 48 75
71 290 45 282 278 23 109
72 99 98 298 36 154 40
73 358 299 59 231 238 260
74 294 370 278 239 173 174
75 282 323 101 80 235 249
76 294 45 152 299 23 231
77 354 289 286 127 285 85
78 290 235 122 3 41 4
79 315 82 36 4 239 238
80 305 2 65 197 294 316
81 45 125 239 173 97 277
82 255 235 269 20 69 313
83 99 152 150 128 73 276
84 37 235 323 313 370 231
85 255 98 36 239 23 307
86 45 282 3 278 157 272
87 82 214 354 128 98 79
88 338 315 82 31 154 13
89 36 358 238 125 187 200
90 45 235 260 282 313 231
91 59 299 215 43 258 286
92 214 294 87 174 154 93
93 37 313 150 152 98 137
94 282 323 80 101 13 260
95 37 152 370 18 25 48
96 152 36 358 294 87 180
97 69 354 298 238 63 73
98 338 31 1 154 41 13
99 235 298 98 278 305 175
100 294 101 80 298 4 235
101 37 152 4 128 382 89
102 370 341 243 316 93 34
103 282 323 100 31 278 13
104 255 3 235 238 215 81
105 75 370 358 86 243 100
106 235 152 150 93 71 325
107 282 45 338 4 370 246
108 290 98 175 63 43 319
109 255 3 358 382 299 215
110 98 9 137 238 27 260
111 325 260 358 90 86 175
112 370 100 305 215 341 313
113 41 276 7 238 272 300
114 63 157 41 215 319 197
115 3 382 23 294 143 150
116 255 36 289 35 258 200
117 270 63 43 66 252 10
118 298 41 363 77 127 285
119 338 129 150 152 25 141
120 70 235 298 358 249 278
121 298 23 11 1 130 123
122 255 18 63 157 20 35
123 290 214 18 141 277 180
124 260 298 9 137 231 25
125 36 186 125 78 25 42
126 4 370 278 157 246 109
127 255 282 338 122 3 45
